Year,Rain.Craig,L95CI_Rain.Craig,U95CI_Rain.Craig,Brwn.Craig,L95CI_Brwn.Craig,U95CI_Brwn.Craig,Rain.Casc,L95CI_Rain.Casc,U95CI_Rain.Casc,Brwn.Casc,L95CI_Brwn.Casc,U95CI_Brwn.Casc
1980,NA,NA,NA,NA,NA,NA,1128,562,2466,120,72,210
1981,NA,NA,NA,NA,NA,NA,1542,1328,1796,111,88,144
1982,1088,948,1252,NA,NA,NA,384,314,471,NA,NA,NA
1983,1219,1016,1422,81,71,94, NA , NA , NA ,NA,NA,NA
1984,2009,1598,2420,NA,NA,NA, NA , NA , NA ,NA,NA,NA
1985,1528,1312,1784,NA,NA,NA, NA , NA , NA ,NA,NA,NA
1986,1652,1428,1915,136,122,153,664,560,792,NA,NA,NA
1987,1831,1439,2223,NA,NA,NA,891,716,1065,NA,NA,NA
1988,2179,1735,2623,234,205,269,577,473,710,147,114,193
1989,1613,1404,1822,252,201,320,487,402,594,108,87,139
1990,1412,1241,1612,226,204,253,406,341,486,79,65,99
1991,1334,1121,1547,209,189,233,465,386,564,111,82,152
1992,1589,1400,1807,194,172,220,892,761,1052,93,72,122
1993,NA,NA,NA,253,231,278,584,501,684,175,138,224
1994,1722,1474,1971,333,302,368,784,649,954,178,135,239
1995,1893,1671,2150,NA,NA,NA,884,690,1078,281,213,376
1996,1591,1385,1831,342,309,381,818,692,972,155,125,196
1997,1766,1564,1997,244,227,263,707,601,837,145,120,179
1998,1935,1713,2189,159,144,176,1042,907,1201,124,96,162
1999,3196,2801,3592,276,254,302,2225,1960,2532,124,105,148
2000,2354,2117,2623,703,641,772,1732,1565,1920,338,286,403
2001,2583,2278,2889,798,737,865,1542,1349,1766,425,363,502
2002,2220,1967,2510,682,621,751,825,677,1012,277,226,344
2003,2113,1864,2362,321,289,358,1463,1191,1734,158,124,206
2004,1529,1373,1706,400,354,454,1180,991,1411,281,216,370
2005,1824,1619,2059,516,389,698,969,836,1128,390,275,562
2006,1569,1325,1813,273,243,310,1046,889,1236,203,164,257
2007,2291,1973,2610,464,418,517,982,857,1130,354,275,461
2008,1833,1474,2192,666,599,744,1116,917,1315,296,247,359
2009,2197,1890,2503,349,315,389,999,832,1205,334,269,421
2010,1787,1524,2101,340,306,379,1080,895,1309,265,205,349
2011,3533,3075,3992,307,270,351,1377,1142,1612,548,407,748
2012,4392,3942,4843,482,433,538,1304,994,1746,320,264,392
2013,3213,2869,3605,447,405,496,1457,1239,1719,273,226,334
2014,2986,2645,3376,367,339,398,1240,984,1495,356,304,419
2015,2500,2148,2852,276,233,331,1333,1118,1595,285,223,370
2016,2719,2359,3079,172,143,208,1355,1166,1579,298,226,400
2017,3100,2736,3520,418,370,474,1028,890,1192,233,192,286
2018,2334,2143,2545,452,385,533,791,651,931,206,164,265
2019,1797,1636,1978,244,218,275,737,620,880,147,113,193
2020,2037,1777,2296,258,233,287,1094,825,1483,174,136,227
2021,4108,3523,4693,225,194,263,1053,821,1284,199,142,285
