Site,Date,Season,DisCFS,DisCFS_lm,TempC,TDS.mg.L,TSS.mg.L,NN.mg.L,TN.mg.L,TP.mg.L
LPPC US,2015-01,,4905,4905,1.09,NA,NA,NA,NA,NA
LPPC DS,2015-01,,NA,4905,NA,NA,NA,NA,NA,NA
Craig,2015-01,,NA,4905,NA,NA,NA,NA,NA,NA
Dearborn US,2015-01,,NA,4905,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-01,,NA,4905,NA,NA,NA,NA,NA,NA
Hardy,2015-01,,NA,4905,NA,NA,NA,NA,NA,NA
Cascade,2015-01,,5098,5098,NA,NA,NA,NA,NA,NA
LPPC US,2015-02,,4977,4977,1.8,NA,NA,NA,NA,NA
LPPC DS,2015-02,,NA,4977,NA,NA,NA,NA,NA,NA
Craig,2015-02,,NA,4977,NA,NA,NA,NA,NA,NA
Dearborn US,2015-02,,NA,4977,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-02,,NA,4977,NA,NA,NA,NA,NA,NA
Hardy,2015-02,,NA,4977,NA,NA,NA,NA,NA,NA
Cascade,2015-02,,5277,5277,NA,NA,NA,NA,NA,NA
LPPC US,2015-03,,4511,4511,2.62,NA,NA,NA,NA,NA
LPPC DS,2015-03,,NA,4511,NA,NA,NA,NA,NA,NA
Craig,2015-03,,NA,4511,NA,NA,NA,NA,NA,NA
Dearborn US,2015-03,,NA,4511,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-03,,NA,4511,NA,NA,NA,NA,NA,NA
Hardy,2015-03,,NA,4511,NA,NA,NA,NA,NA,NA
Cascade,2015-03,,4922,4922,NA,NA,NA,NA,NA,NA
LPPC US,2015-04,,3862,3862,6.6,NA,NA,NA,NA,NA
LPPC DS,2015-04,,NA,3862,NA,NA,NA,NA,NA,NA
Craig,2015-04,,NA,3862,NA,NA,NA,NA,NA,NA
Dearborn US,2015-04,,NA,3862,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-04,,NA,3862,NA,NA,NA,NA,NA,NA
Hardy,2015-04,,NA,3862,NA,NA,NA,NA,NA,NA
Cascade,2015-04,,4371,4371,NA,NA,NA,NA,NA,NA
LPPC US,2015-05,spr,3817,3817,9.98,NA,NA,NA,NA,NA
LPPC DS,2015-05,spr,NA,3817,NA,NA,NA,NA,NA,NA
Craig,2015-05,spr,NA,3817,NA,NA,NA,NA,NA,NA
Dearborn US,2015-05,spr,NA,3817,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-05,spr,NA,3817,NA,NA,NA,NA,NA,NA
Hardy,2015-05,spr,NA,3817,NA,NA,NA,NA,NA,NA
Cascade,2015-05,spr,4627,4627,NA,NA,NA,NA,NA,NA
LPPC US,2015-06,,4717,4717,14.55,NA,NA,NA,NA,NA
LPPC DS,2015-06,,NA,4717,NA,NA,NA,NA,NA,NA
Craig,2015-06,,NA,4717,NA,NA,NA,NA,NA,NA
Dearborn US,2015-06,,NA,4717,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-06,,NA,4717,NA,NA,NA,NA,NA,NA
Hardy,2015-06,,NA,4717,NA,NA,NA,NA,NA,NA
Cascade,2015-06,,5404,5404,NA,NA,NA,NA,NA,NA
LPPC US,2015-07,sum,3986,3986,16.93,NA,NA,NA,NA,NA
LPPC DS,2015-07,sum,NA,3986,NA,NA,NA,NA,NA,NA
Craig,2015-07,sum,NA,3986,NA,NA,NA,NA,NA,NA
Dearborn US,2015-07,sum,NA,3986,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-07,sum,NA,3986,NA,NA,NA,NA,NA,NA
