Site,Date,TDS.mg.L,TSS.mg.L,NN.mg.L,TN.mg.L,TP.mg.L
LPPC US,2015-01,NA,NA,NA,NA,NA
LPPC DS,2015-01,NA,NA,NA,NA,NA
Craig,2015-01,NA,NA,NA,NA,NA
Dearborn US,2015-01,NA,NA,NA,NA,NA
Dearborn DS,2015-01,NA,NA,NA,NA,NA
Hardy,2015-01,NA,NA,NA,NA,NA
Cascade,2015-01,NA,NA,NA,NA,NA
LPPC US,2015-02,NA,NA,NA,NA,NA
LPPC DS,2015-02,NA,NA,NA,NA,NA
Craig,2015-02,NA,NA,NA,NA,NA
Dearborn US,2015-02,NA,NA,NA,NA,NA
Dearborn DS,2015-02,NA,NA,NA,NA,NA
Hardy,2015-02,NA,NA,NA,NA,NA
Cascade,2015-02,NA,NA,NA,NA,NA
LPPC US,2015-03,NA,NA,NA,NA,NA
LPPC DS,2015-03,NA,NA,NA,NA,NA
Craig,2015-03,NA,NA,NA,NA,NA
Dearborn US,2015-03,NA,NA,NA,NA,NA
Dearborn DS,2015-03,NA,NA,NA,NA,NA
Hardy,2015-03,NA,NA,NA,NA,NA
Cascade,2015-03,NA,NA,NA,NA,NA
LPPC US,2015-04,NA,NA,NA,NA,NA
LPPC DS,2015-04,NA,NA,NA,NA,NA
Craig,2015-04,NA,NA,NA,NA,NA
Dearborn US,2015-04,NA,NA,NA,NA,NA
Dearborn DS,2015-04,NA,NA,NA,NA,NA
Hardy,2015-04,NA,NA,NA,NA,NA
Cascade,2015-04,NA,NA,NA,NA,NA
LPPC US,2015-05,NA,NA,NA,NA,NA
LPPC DS,2015-05,NA,NA,NA,NA,NA
Craig,2015-05,NA,NA,NA,NA,NA
Dearborn US,2015-05,NA,NA,NA,NA,NA
Dearborn DS,2015-05,NA,NA,NA,NA,NA
Hardy,2015-05,NA,NA,NA,NA,NA
Cascade,2015-05,NA,NA,NA,NA,NA
LPPC US,2015-06,NA,NA,NA,NA,NA
LPPC DS,2015-06,NA,NA,NA,NA,NA
Craig,2015-06,NA,NA,NA,NA,NA
Dearborn US,2015-06,NA,NA,NA,NA,NA
Dearborn DS,2015-06,NA,NA,NA,NA,NA
Hardy,2015-06,NA,NA,NA,NA,NA
Cascade,2015-06,NA,NA,NA,NA,NA
LPPC US,2015-07,NA,NA,NA,NA,NA
LPPC DS,2015-07,NA,NA,NA,NA,NA
Craig,2015-07,NA,NA,NA,NA,NA
Dearborn US,2015-07,NA,NA,NA,NA,NA
Dearborn DS,2015-07,NA,NA,NA,NA,NA
Hardy,2015-07,NA,NA,NA,NA,NA
Cascade,2015-07,NA,NA,NA,NA,NA
LPPC US,2015-08,NA,NA,NA,NA,NA
LPPC DS,2015-08,NA,NA,NA,NA,NA
Craig,2015-08,NA,NA,NA,NA,NA
Dearborn US,2015-08,NA,NA,NA,NA,NA
Dearborn DS,2015-08,NA,NA,NA,NA,NA
Hardy,2015-08,NA,NA,NA,NA,NA
Cascade,2015-08,NA,NA,NA,NA,NA
LPPC US,2015-09,NA,NA,NA,NA,NA
LPPC DS,2015-09,NA,NA,NA,NA,NA
Craig,2015-09,NA,NA,NA,NA,NA
Dearborn US,2015-09,NA,NA,NA,NA,NA
Dearborn DS,2015-09,NA,NA,NA,NA,NA
Hardy,2015-09,NA,NA,NA,NA,NA
Cascade,2015-09,NA,NA,NA,NA,NA
LPPC US,2015-10,NA,NA,NA,NA,NA
